Digital Media and Human-Computer Interaction,Advanced Web Technologies,12,Portfolio
Digital Media and Human-Computer Interaction,Adversarial Machine Learning,6,Written exam
Digital Media and Human-Computer Interaction,Angewandte Lichttechnik,6,Portfolio
Digital Media and Human-Computer Interaction,Automatic Image Analysis,6,Written exam
Digital Media and Human-Computer Interaction,Beleuchtungstechnik,6,Oral exam
Digital Media and Human-Computer Interaction,Biometric Identification,3,Portfolio
Digital Media and Human-Computer Interaction,Communication acoustics,6,Written exam
Digital Media and Human-Computer Interaction,Computer Graphics I (Fundamentals),6,Portfolio
Digital Media and Human-Computer Interaction,Computer Graphics II (Geometric Modeling),6,Oral exam
Digital Media and Human-Computer Interaction,Computer Graphics Project,9,Portfolio
Digital Media and Human-Computer Interaction,Computer Graphics Seminar A,3,Portfolio
Digital Media and Human-Computer Interaction,Computer Graphics Seminar B,3,Portfolio
Digital Media and Human-Computer Interaction,Computer-Supported Interaction,3,Written exam
Digital Media and Human-Computer Interaction,Current Developments in Internet and Society,3,Portfolio
Digital Media and Human-Computer Interaction,Digital Image Processing,6,Written exam
Digital Media and Human-Computer Interaction,Digitale Nachrichtenübertragung,6,Written exam
Digital Media and Human-Computer Interaction,Digitale Nachrichtenübertragung - Vertiefung,6,Portfolio
Digital Media and Human-Computer Interaction,Elektronik und Signalverarbeitung,3,Portfolio
Digital Media and Human-Computer Interaction,Foundations of Statistical Inference Detection and Estimation,6,Portfolio
Digital Media and Human-Computer Interaction,Game Programming,9,Portfolio
Digital Media and Human-Computer Interaction,Grundlagen der automatischen Spracherkennung,6,Portfolio
Digital Media and Human-Computer Interaction,Hot Topics in Communication Systems,3,Portfolio
Digital Media and Human-Computer Interaction,Image Processing for Remote Sensing,6,Portfolio
Digital Media and Human-Computer Interaction,Image and Video Coding,6,Oral exam
Digital Media and Human-Computer Interaction,Kognitionspsychologie,6,Written exam
Digital Media and Human-Computer Interaction,Licht- und Farbwahrnehmung,6,Oral exam
Digital Media and Human-Computer Interaction,Lichtquellen,6,Oral exam
Digital Media and Human-Computer Interaction,Lichttechnik,6,Oral exam
Digital Media and Human-Computer Interaction,Lichttechnik: Grundlagen und Anwendungen,6,Portfolio
Digital Media and Human-Computer Interaction,Lichttechnische Forschung,6,Portfolio
Digital Media and Human-Computer Interaction,Machine Intelligence I,6,Written exam
Digital Media and Human-Computer Interaction,Machine Intelligence II,6,Written exam
Digital Media and Human-Computer Interaction,Machine Learning,1,Written exam
Digital Media and Human-Computer Interaction,Machine Learning 1-X,12,Written exam
Digital Media and Human-Computer Interaction,Machine Learning,2,Written exam
Digital Media and Human-Computer Interaction,Machine Learning 2-X,12,Written exam
Digital Media and Human-Computer Interaction,Machine Learning Lab Course,9,Oral exam
Digital Media and Human-Computer Interaction,Machine Learning and Inverse Modeling in Neuroimaging,3,Portfolio
Digital Media and Human-Computer Interaction,Machine Learning for Remote Sensing Data Analysis,3,Portfolio
Digital Media and Human-Computer Interaction,Machine Learning in Neuroscience,3,Presentation
Digital Media and Human-Computer Interaction,Machine and Behavior,3,Portfolio
Digital Media and Human-Computer Interaction,Medizinische Signalverarbeitung,9,Portfolio
Digital Media and Human-Computer Interaction,Mensch und Maschine: Wie künstliche Intelligenz unser Leben verändert,6,Portfolio
Digital Media and Human-Computer Interaction,Microwave and Radar Remote Sensing,6,Written exam
Digital Media and Human-Computer Interaction,Multimodal Interaction,6,Portfolio
Digital Media and Human-Computer Interaction,Musikinformatik I (MSc-AKT 8a),6,Portfolio
Digital Media and Human-Computer Interaction,Natural Language Processing,6,Portfolio
Digital Media and Human-Computer Interaction,Optische Kommunikationstechnik,12,Portfolio
Digital Media and Human-Computer Interaction,Photogrammetric Computer Vision,6,Written exam
Digital Media and Human-Computer Interaction,Photonische Kommunikationsnetze und Komponenten,12,Portfolio
Digital Media and Human-Computer Interaction,Physics-Informed Machine Learning,3,Portfolio
Digital Media and Human-Computer Interaction,Project Advanced Network Technologies,6,Portfolio
Digital Media and Human-Computer Interaction,Project Computer Vision for Remote Sensing,9,Portfolio
Digital Media and Human-Computer Interaction,Project Hot Topics in Computer Vision A,9,Portfolio
Digital Media and Human-Computer Interaction,Project Hot Topics in Computer Vision B,9,Portfolio
Digital Media and Human-Computer Interaction,Project Industrial Assistance-Systems (IAS Project),9,Portfolio
Digital Media and Human-Computer Interaction,Projekt - Verteilte industrielle Steuerungssysteme,9,Portfolio
Digital Media and Human-Computer Interaction,Projekt Advanced Web Technologies,9,Portfolio
Digital Media and Human-Computer Interaction,Projekt Nachrichtenübertragung,6,Portfolio
Digital Media and Human-Computer Interaction,Projekt Neuronale Informationsverarbeitung,9,Portfolio
Digital Media and Human-Computer Interaction,Projektorientierte App- und Web-Entwicklung,6,Portfolio
